0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.027,0.027,0.0,0.0,0.027,0.027,0.0,0.133,0.0,0.027,0.133,0.133,0.0,0.027,0.133,0.133,0.027,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.027,0.027,0.0,0.027,0.027,0.0,0.0,0.133,0.0,0.027,0.133,0.0,0.027,0.133,0.0,0.0,0.0,0.133,0.0,0.133,0.027,0.0,0.0
0.0,0.027,0.027,0.0,0.0,0.027,0.027,0.078,0.133,0.015,0.027,0.133,0.133,0.015,0.027,0.133,0.133,0.027,0.133,0.015,0.015,0.078,0.015,0.015,0.078,0.0,0.027,0.027,0.027,0.0,0.027,0.027,0.0,0.0,0.133,0.015,0.027,0.133,0.0,0.027,0.133,0.015,0.015,0.078,0.133,0.015,0.133,0.027,0.078,0.0
0.015,0.027,0.027,0.0,0.015,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.0,0.027,0.027,0.027,0.015,0.027,0.027,0.0,0.0,0.133,0.004,0.027,0.133,0.0,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.0
0.004,0.027,0.027,0.0,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.0,0.015,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.015
0.004,0.027,0.027,0.016,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.016,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.004,0.133,0.004,0.027,0.133,0.08,0.027,0.133,0.004,0.004,0.078,0.133,0.004,0.133,0.027,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.133,0.004,0.027,0.133,0.133,0.004,0.027,0.133,0.133,0.027,0.133,0.004,0.004,0.078,0.004,0.004,0.078,0.08,0.027,0.027,0.027,0.004,0.027,0.027,0.004,0.054,0.133,0.004,0.027,0.133,0.127,0.027,0.165,0.004,0.004,0.078,0.133,0.004,0.133,0.104,0.078,0.004
0.004,0.027,0.027,0.004,0.004,0.027,0.027,0.078,0.282,0.004,0.027,0.133,0.141,0.047,0.027,0.133,0.133,0.027,0.133,0.004,0.233,0.16,0.338,0.004,0.078,0.08,0.027,0.027,0.027,0.098,0.248,0.027,0.129,0.462,0.133,0.155,0.178,0.133,0.532,0.027,0.33,0.149,0.054,0.35,0.234,0.02,0.133,0.292,0.078,0.092
0.004,0.027,0.027,0.004,0.004,0.394,0.027,0.078,0.582,0.004,0.027,0.138,0.371,0.295,0.027,0.166,0.133,0.111,0.136,0.004,0.563,0.427,0.713,0.077,0.078,0.135,0.124,0.242,0.027,0.557,0.635,0.027,0.41,0.811,0.307,0.589,0.234,0.133,0.881,0.089,0.831,0.193,0.301,0.698,0.499,0.255,0.167,0.781,0.148,0.36
0.004,0.027,0.027,0.088,0.143,0.613,0.058,0.078,0.96,0.004,0.12,0.301,0.756,0.686,0.114,0.198,0.477,0.292,0.165,0.185,0.93,0.819,1.063,0.471,0.109,0.309,0.076,0.627,0.058,0.866,1.014,0.027,0.798,1.258,0.687,0.911,0.78,0.383,1.327,0.264,1.273,0.74,0.69,1.059,0.891,0.641,0.199,1.228,0.327,0.751
0.004,0.027,0.057,0.443,0.497,0.5,0.031,0.078,1.305,0.095,0.11,0.653,1.016,0.968,0.106,0.176,0.45,0.655,0.596,0.175,1.318,1.118,1.486,0.668,0.082,0.669,0.603,0.88,0.072,1.173,1.365,0.193,1.122,1.69,0.932,1.227,1.098,0.367,1.761,0.625,1.686,1.048,0.966,1.461,1.188,0.905,0.705,1.702,0.692,1.05
0.004,0.027,0.031,0.588,0.67,0.5,0.062,0.109,1.618,0.396,0.11,0.817,0.986,0.926,0.106,0.582,0.45,0.849,0.754,0.175,1.662,1.404,1.865,0.569,0.113,0.857,0.808,0.854,0.061,1.012,1.177,0.184,1.423,2.221,1.169,1.06,0.93,0.367,1.736,0.814,1.594,0.886,1.231,1.819,1.469,0.77,0.929,1.87,0.89,1.336
0.004,0.027,0.055,0.522,0.587,0.663,0.092,0.321,1.454,0.456,0.11,0.74,0.957,0.897,0.106,0.74,0.45,0.825,0.681,0.175,1.978,1.257,1.788,0.569,0.086,0.832,0.704,0.826,0.061,1.178,1.44,0.184,1.266,2.351,1.049,1.243,1.111,0.367,2.382,0.979,2.1,1.052,1.096,1.631,1.326,0.842,0.815,2.762,0.79,1.19
